"","PCA.1","PCA.2","PCA.3","PCA.4","PCA.5","PCB.1","PCB.2","PCB.3","PCB.4","PCB.5"
"ADAM17.AKT",-0.955619726533804,-2.55009312149676,1.20165766128296,-0.386709017750194,0.813153919245996,27.4881467582102,5.55039636258213,-7.54620144869418,-4.51612889701824,1.83695891410163
"ADAM17.BCL2_BCL2L1",-0.955619726533804,-2.55009312149676,1.20165766128296,-0.386709017750194,0.813153919245996,30.7329969239666,11.2103145494898,-7.04553411803862,-2.19208961655644,3.81556596792067
"ADAM17.FGFR",-0.955619726533804,-2.55009312149676,1.20165766128296,-0.386709017750194,0.813153919245996,24.8998488789297,7.04777729740616,-2.8344719474734,-1.90068816252222,4.65444220927203
"ADAM17.MAP2K_1",-0.955619726533804,-2.55009312149676,1.20165766128296,-0.386709017750194,0.813153919245996,23.1706014476955,6.46014289406978,-1.71541244394015,-4.89892761682413,-17.7438908730822
"ADAM17.MTOR_1",-0.955619726533804,-2.55009312149676,1.20165766128296,-0.386709017750194,0.813153919245996,23.5478303225711,2.33495123001014,-4.73311389651516,6.37386657940529,2.03064477712979
"ADAM17.PIK3C",-0.955619726533804,-2.55009312149676,1.20165766128296,-0.386709017750194,0.813153919245996,21.5076218254945,4.00637883774843,-1.55600909182941,16.7905756433946,-3.19045508204433
"ADAM17.PIK3CB_PIK3CD",-0.955619726533804,-2.55009312149676,1.20165766128296,-0.386709017750194,0.813153919245996,27.4017356671911,10.1465860331262,-5.25443303280622,-4.47306016810464,4.27930739012832
"AKT_1.ALK_IGFR",5.89091901405094,3.22362618057086,8.69860835621565,-1.08371711755787,0.404041118759955,-6.76708937502779,0.898601275564296,-3.09516075319113,-0.707348786214373,-0.111248249140507
"AKT_1.BCL2_2",5.89091901405094,3.22362618057086,8.69860835621565,-1.08371711755787,0.404041118759955,2.5332060412073,-9.90921170869138,1.99520593761479,-0.507718640183405,0.832341827413137
"AKT_1.BCL2_BCL2L1",5.89091901405094,3.22362618057086,8.69860835621565,-1.08371711755787,0.404041118759955,30.7329969239666,11.2103145494898,-7.04553411803862,-2.19208961655644,3.81556596792067
"AKT_1.BCL2L1",5.89091901405094,3.22362618057086,8.69860835621565,-1.08371711755787,0.404041118759955,0.384586058559759,-9.55523245433715,0.454516557378149,0.302569247910395,0.20832814418275
"AKT_1.Chloroquine",5.89091901405094,3.22362618057086,8.69860835621565,-1.08371711755787,0.404041118759955,-0.2039064600844,-5.07198059474462,1.53593049063943,-0.63792831863436,0.866140332599043
"AKT_1.EGFR",5.89091901405094,3.22362618057086,8.69860835621565,-1.08371711755787,0.404041118759955,-9.53378236779719,10.6111396678384,-1.03730493418474,-0.555013868167367,-0.241531705832336
"AKT_1.EGFR_2",5.89091901405094,3.22362618057086,8.69860835621565,-1.08371711755787,0.404041118759955,-3.31502708210351,-9.89122112215177,-4.47526049875118,-0.255549552482808,0.52552804063984
"AKT_1.ESR1",5.89091901405094,3.22362618057086,8.69860835621565,-1.08371711755787,0.404041118759955,-8.27736688370865,8.61371008984925,-0.158441072094634,-0.456137688137553,-0.115766640114416
"AKT_1.ESR1_1",5.89091901405094,3.22362618057086,8.69860835621565,-1.08371711755787,0.404041118759955,-0.920468395896443,-11.4805805477571,-2.96161960153131,-0.497703542240053,0.369434011663933
"AKT_1.PIK3C",5.89091901405094,3.22362618057086,8.69860835621565,-1.08371711755787,0.404041118759955,21.5076218254945,4.00637883774843,-1.55600909182941,16.7905756433946,-3.19045508204433
"AKT_1.PIK3C_2",5.89091901405094,3.22362618057086,8.69860835621565,-1.08371711755787,0.404041118759955,-8.15064490023302,7.45930764981329,-0.964010060337318,-0.723032892459592,-0.164283976941618
"AKT_1.PIK3CB_PIK3CD",5.89091901405094,3.22362618057086,8.69860835621565,-1.08371711755787,0.404041118759955,27.4017356671911,10.1465860331262,-5.25443303280622,-4.47306016810464,4.27930739012832
